,mentions,mentions_perc,tips,tips_perc,nhype,hype_perc
2021-01-03 18:00:19+10:00,0,0.0,0,0.0,0,0.0
2021-01-04 18:00:14+10:00,0,0.0,0,0.0,0,0.0
2021-01-05 18:00:12+10:00,0,0.0,0,0.0,0,0.0
2021-01-06 18:00:14+10:00,0,0.0,0,0.0,0,0.0
2021-01-07 18:00:12+10:00,0,0.0,0,0.0,0,0.0
2021-01-08 18:00:26+10:00,0,0.0,0,0.0,0,0.0
2021-01-08 18:00:29+10:00,0,0.0,0,0.0,0,0.0
2021-01-10 18:00:17+10:00,0,0.0,0,0.0,0,0.0
2021-01-11 18:00:15+10:00,1,0.2717391304347826,0,0.0,0,0.0
2021-01-12 18:00:13+10:00,0,0.0,0,0.0,0,0.0
2021-01-12 18:00:16+10:00,0,0.0,0,0.0,0,0.0
2021-01-13 18:00:14+10:00,0,0.0,0,0.0,0,0.0
2021-01-14 18:00:12+10:00,0,0.0,0,0.0,0,0.0
2021-01-15 18:00:22+10:00,0,0.0,0,0.0,0,0.0
2021-01-17 18:00:19+10:00,0,0.0,0,0.0,0,0.0
2021-01-18 18:00:17+10:00,0,0.0,0,0.0,0,0.0
2021-01-19 18:00:15+10:00,0,0.0,0,0.0,0,0.0
2021-01-20 18:00:17+10:00,0,0.0,0,0.0,0,0.0
2021-02-07 18:00:12+10:00,0,0.0,0,0.0,0,0.0
2021-02-11 18:00:14+10:00,0,0.0,0,0.0,0,0.0
2021-02-12 18:00:15+10:00,0,0.0,0,0.0,0,0.0
2021-02-14 18:00:19+10:00,0,0.0,0,0.0,0,0.0
2021-02-15 18:00:17+10:00,0,0.0,0,0.0,0,0.0
2021-02-16 18:00:16+10:00,0,0.0,0,0.0,0,0.0
2021-02-18 17:00:14+10:00,1,0.2403846153846154,0,0.0,0,0.0
2021-02-19 18:00:13+10:00,0,0.0,0,0.0,0,0.0
2021-02-21 17:00:13+10:00,0,0.0,0,0.0,0,0.0
2021-02-22 17:00:18+10:00,1,0.3076923076923077,0,0.0,0,0.0
2021-03-01 17:00:13+10:00,0,0.0,0,0.0,0,0.0
