TICKER,CAT,STATUS,COLL_LAST,COLL_FREQ,REPAIR_LAST,REPAIR_FREQ,MISSING_DATES,MISSING_TIMES
HACK.AX,1,GOOD,14/03/2021,3,14/03/2021,1,1,857
GGUS.AX,1,GOOD,14/03/2021,3,14/03/2021,1,1,1902
RBTZ.AX,1,GOOD,14/03/2021,3,14/03/2021,1,1,1363
A2M.AX,1001,GOOD,14/03/2021,3,,5,0,0
AAC.AX,1001,GOOD,14/03/2021,3,,5,0,0
ABC.AX,1001,GOOD,14/03/2021,3,,5,0,0
ABP.AX,1001,GOOD,14/03/2021,3,,5,0,0
AD8.AX,1001,GOOD,14/03/2021,3,,5,0,0
ADI.AX,1001,GOOD,14/03/2021,3,,5,0,0
AEF.AX,1001,GOOD,14/03/2021,3,,5,0,0
AFG.AX,1001,GOOD,14/03/2021,3,,5,0,0
AFI.AX,1001,GOOD,14/03/2021,3,,5,0,0
AGL.AX,1001,GOOD,14/03/2021,3,,5,1,4
AHY.AX,1001,GOOD,14/03/2021,3,,5,1,1116
AIA.AX,1001,GOOD,14/03/2021,3,,5,1,106
ALD.AX,1001,GOOD,14/03/2021,3,,5,1,5
ALL.AX,1001,GOOD,14/03/2021,3,,5,1,4
ALQ.AX,1001,GOOD,14/03/2021,3,,5,1,8
ALU.AX,1001,GOOD,14/03/2021,3,,5,1,3
ALX.AX,1001,GOOD,14/03/2021,3,,5,1,23
AMC.AX,1001,GOOD,14/03/2021,3,,5,1,4
AMP.AX,1001,GOOD,14/03/2021,3,,5,1,22
ANN.AX,1001,GOOD,14/03/2021,3,,5,1,5
ANZ.AX,1001,GOOD,14/03/2021,3,,5,1,3
APA.AX,1001,GOOD,14/03/2021,3,,5,1,7
APE.AX,1001,GOOD,14/03/2021,3,,5,1,10
API.AX,1001,GOOD,14/03/2021,3,,5,1,491
APT.AX,1,GOOD,14/03/2021,3,14/03/2021,5,2,3
APX.AX,1001,GOOD,14/03/2021,3,,5,1,3
ARB.AX,1001,GOOD,14/03/2021,3,,5,1,9
ARF.AX,1001,GOOD,14/03/2021,3,,5,0,341
ASB.AX,1001,GOOD,14/03/2021,3,,5,0,96
ASIA.AX,1,GOOD,14/03/2021,3,9/03/2021,5,0,183
AST.AX,1001,GOOD,14/03/2021,3,,5,1,27
ASX.AX,1001,GOOD,14/03/2021,3,,5,0,0
ATEC.AX,1001,GOOD,14/03/2021,3,,5,0,0
AUB.AX,1001,GOOD,14/03/2021,3,,5,0,0
AVH.AX,1001,GOOD,14/03/2021,3,,5,0,0
AVN.AX,1001,GOOD,14/03/2021,3,,5,0,0
AWC.AX,1001,GOOD,14/03/2021,3,,5,0,0
AX1.AX,1001,GOOD,14/03/2021,3,,5,0,0
AZJ.AX,1001,GOOD,14/03/2021,3,,5,0,0
BAP.AX,1001,GOOD,14/03/2021,3,,5,0,0
BBN.AX,1001,GOOD,14/03/2021,3,,5,0,0
BEAR.AX,1001,GOOD,14/03/2021,3,,5,0,0
BEN.AX,1001,GOOD,14/03/2021,3,,5,0,0
BGA.AX,1001,GOOD,14/03/2021,3,,5,0,0
BGL.AX,1001,GOOD,14/03/2021,3,,5,0,0
BHP.AX,1001,GOOD,14/03/2021,3,,5,0,0
BKL.AX,1001,GOOD,14/03/2021,3,,5,0,0
BKW.AX,1001,GOOD,14/03/2021,3,,5,0,0
BLD.AX,1001,GOOD,14/03/2021,3,,5,0,0
BOQ.AX,1001,GOOD,14/03/2021,3,,5,0,0
BPT.AX,1001,GOOD,14/03/2021,3,,5,0,0
BRG.AX,1001,GOOD,14/03/2021,3,,5,0,0
BSL.AX,1001,GOOD,14/03/2021,3,,5,0,0
BVS.AX,1001,GOOD,14/03/2021,3,,5,0,0
BWP.AX,1001,GOOD,14/03/2021,3,,5,0,0
BWX.AX,1001,GOOD,14/03/2021,3,,5,0,0
BXB.AX,1001,GOOD,14/03/2021,3,,5,0,0
CAR.AX,1001,GOOD,14/03/2021,3,,5,0,0
CBA.AX,1001,GOOD,14/03/2021,3,,5,0,0
CCP.AX,1001,GOOD,14/03/2021,3,,5,0,0
CCX.AX,1001,GOOD,14/03/2021,3,,5,0,0
CDA.AX,1001,GOOD,14/03/2021,3,,5,0,0
CGC.AX,1001,GOOD,14/03/2021,3,,5,0,0
CGF.AX,1001,GOOD,14/03/2021,3,,5,0,0
CHC.AX,1001,GOOD,14/03/2021,3,,5,0,0
CIA.AX,1001,GOOD,14/03/2021,3,,5,0,0
CIM.AX,1001,GOOD,14/03/2021,3,,5,0,0
CIP.AX,1001,GOOD,14/03/2021,3,,5,0,0
CKF.AX,1001,GOOD,14/03/2021,3,,5,0,0
CLW.AX,1001,GOOD,14/03/2021,3,,5,0,0
CMM.AX,1001,GOOD,14/03/2021,3,,5,0,0
CNI.AX,1001,GOOD,14/03/2021,3,,5,0,0
CNU.AX,1001,GOOD,14/03/2021,3,,5,0,0
COF.AX,1001,GOOD,14/03/2021,3,,5,0,0
COH.AX,1001,GOOD,14/03/2021,3,,5,0,0
COL.AX,1001,GOOD,14/03/2021,3,,5,0,0
CPU.AX,1001,GOOD,14/03/2021,3,,5,0,0
CQE.AX,1001,GOOD,14/03/2021,3,,5,0,0
CQR.AX,1001,GOOD,14/03/2021,3,,5,0,0
CSL.AX,1001,GOOD,14/03/2021,3,,5,0,0
CSR.AX,1001,GOOD,14/03/2021,3,,5,0,0
CTD.AX,1001,GOOD,14/03/2021,3,,5,0,0
CUV.AX,1001,GOOD,14/03/2021,3,,5,0,0
CWN.AX,1001,GOOD,14/03/2021,3,,5,0,0
CWP.AX,1001,GOOD,14/03/2021,3,,5,0,0
CWY.AX,1001,GOOD,14/03/2021,3,,5,0,0
DDR.AX,1001,GOOD,14/03/2021,3,,5,0,0
DHG.AX,1001,GOOD,14/03/2021,3,,5,0,0
DMP.AX,1001,GOOD,15/03/2021,3,,5,0,0
DOW.AX,1001,GOOD,15/03/2021,3,,5,0,0
DRR.AX,1001,GOOD,15/03/2021,3,,5,0,0
DTL.AX,1001,GOOD,15/03/2021,3,,5,0,0
DXS.AX,1001,GOOD,15/03/2021,3,,5,0,0
ECX.AX,1001,GOOD,15/03/2021,3,,5,0,0
EHE.AX,1001,GOOD,15/03/2021,3,,5,0,0
EHL.AX,1001,GOOD,15/03/2021,3,,5,0,0
ELD.AX,1001,GOOD,15/03/2021,3,,5,0,0
ELO.AX,1001,GOOD,15/03/2021,3,,5,0,0
EML.AX,1001,GOOD,15/03/2021,3,,5,0,0
EOS.AX,1001,GOOD,15/03/2021,3,,5,0,0
ETHI.AX,1001,GOOD,15/03/2021,3,,5,0,0
EVN.AX,1001,GOOD,15/03/2021,3,,5,0,0
EVT.AX,1001,GOOD,15/03/2021,3,,5,0,0
FAIR.AX,1001,GOOD,15/03/2021,3,,5,0,0
FBU.AX,1001,GOOD,15/03/2021,3,,5,0,0
FLT.AX,1001,GOOD,15/03/2021,3,,5,0,0
FMG.AX,1001,GOOD,15/03/2021,3,,5,0,0
FPH.AX,1001,GOOD,15/03/2021,3,,5,0,0
GDI.AX,1001,GOOD,15/03/2021,3,,5,0,0
GEM.AX,1001,GOOD,15/03/2021,3,,5,0,0
GMA.AX,1001,GOOD,15/03/2021,3,,5,0,0
GMG.AX,1001,GOOD,15/03/2021,3,,5,0,0
GNC.AX,1001,GOOD,15/03/2021,3,,5,0,0
GOLD.AX,1001,GOOD,15/03/2021,3,,5,0,0
GOR.AX,1001,GOOD,15/03/2021,3,,5,0,0
GOZ.AX,1001,GOOD,15/03/2021,3,,5,0,0
GPT.AX,1001,GOOD,15/03/2021,3,,5,0,0
GUD.AX,1001,GOOD,15/03/2021,3,,5,0,0
GWA.AX,1001,GOOD,15/03/2021,3,,5,0,0
GXY.AX,1001,GOOD,15/03/2021,3,,5,0,0
HLS.AX,1001,GOOD,15/03/2021,3,,5,0,0
HPI.AX,1001,GOOD,15/03/2021,3,,5,0,0
HSN.AX,1001,GOOD,15/03/2021,3,,5,0,0
HUB.AX,1001,GOOD,15/03/2021,3,,5,0,0
HUM.AX,1001,GOOD,15/03/2021,3,,5,0,0
HVN.AX,1001,GOOD,15/03/2021,3,,5,0,0
IAG.AX,1001,GOOD,15/03/2021,3,,5,0,0
IAP.AX,1001,GOOD,15/03/2021,3,,5,0,0
IDX.AX,1001,GOOD,15/03/2021,3,,5,0,0
IEL.AX,1001,GOOD,15/03/2021,3,,5,0,0
IEM.AX,1001,GOOD,15/03/2021,3,,5,0,0
IEU.AX,1001,GOOD,15/03/2021,3,,5,0,0
IFL.AX,1001,GOOD,15/03/2021,3,,5,0,0
IFM.AX,1001,GOOD,15/03/2021,3,,5,0,0
IGO.AX,1001,GOOD,15/03/2021,3,,5,0,0
ILU.AX,1001,GOOD,15/03/2021,3,,5,0,0
IMD.AX,1001,GOOD,15/03/2021,3,,5,0,0
INA.AX,1001,GOOD,15/03/2021,3,,5,0,0
ING.AX,1001,GOOD,15/03/2021,3,,5,0,0
IPH.AX,1001,GOOD,15/03/2021,3,,5,0,0
IPL.AX,1001,GOOD,15/03/2021,3,,5,0,0
IRE.AX,1001,GOOD,15/03/2021,3,,5,0,0
IRI.AX,1001,GOOD,15/03/2021,3,,5,0,0
IVC.AX,1001,GOOD,15/03/2021,3,,5,0,0
IVV.AX,1001,GOOD,15/03/2021,3,,5,0,0
IXJ.AX,1001,GOOD,15/03/2021,3,,5,0,0
JBH.AX,1001,GOOD,15/03/2021,3,,5,0,0
JHG.AX,1001,GOOD,15/03/2021,3,,5,0,0
JHX.AX,1001,GOOD,15/03/2021,3,,5,0,0
JIN.AX,1001,GOOD,15/03/2021,3,,5,0,0
KAR.AX,1001,GOOD,15/03/2021,3,,5,0,0
KGN.AX,1001,GOOD,15/03/2021,3,,5,0,0
KMD.AX,1001,GOOD,15/03/2021,3,,5,0,0
LIC.AX,1001,GOOD,15/03/2021,3,,5,0,0
LLC.AX,1001,GOOD,15/03/2021,3,,5,0,0
LNK.AX,1001,GOOD,15/03/2021,3,,5,0,0
LOV.AX,1001,GOOD,15/03/2021,3,,5,0,0
LYC.AX,1001,GOOD,15/03/2021,3,,5,0,0
MFG.AX,1001,GOOD,15/03/2021,3,,5,0,0
MGR.AX,1001,GOOD,15/03/2021,3,,5,0,0
MIN.AX,1001,GOOD,15/03/2021,3,,5,0,0
MLD.AX,1001,GOOD,15/03/2021,3,,5,0,0
MMS.AX,1001,GOOD,15/03/2021,3,,5,0,0
MND.AX,1001,GOOD,15/03/2021,3,,5,0,0
