Company name,Code
THE A2 MILK COMPANY LIMITED,A2M
AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,AAC
ADBRI LIMITED,ABC
ABACUS PROPERTY GROUP,ABP
AUDINATE GROUP LIMITED,AD8
APN INDUSTRIA REIT,ADI
AUSTRALIAN ETHICAL INVESTMENT LIMITED,AEF
AUSTRALIAN FINANCE GROUP LTD,AFG
AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,AFI
AGL ENERGY LIMITED.,AGL
ASALEO CARE LIMITED,AHY
AUCKLAND INTERNATIONAL AIRPORT LIMITED,AIA
AMPOL LIMITED,ALD
ARISTOCRAT LEISURE LIMITED,ALL
ALS LIMITED,ALQ
ALTIUM LIMITED,ALU
ATLAS ARTERIA,ALX
AMCOR PLC,AMC
AMP LIMITED,AMP
ANSELL LIMITED,ANN
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,ANZ
APA GROUP,APA
EAGERS AUTOMOTIVE LIMITED,APE
AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED,API
AFTERPAY LIMITED,APT
APPEN LIMITED,APX
ARB CORPORATION LIMITED.,ARB
ARENA REIT.,ARF
AUSTAL LIMITED,ASB
BETASHARES ASIA TECHNOLOGY TIGERS ETF,ASIA
AUSNET SERVICES LIMITED,AST
ASX LIMITED,ASX
BETASHARES S&P/ASX AUSTRALIAN TECHNOLOGY ETF,ATEC
AUB GROUP LIMITED,AUB
AVITA MEDICAL INC.,AVH
AVENTUS GROUP,AVN
ALUMINA LIMITED,AWC
ACCENT GROUP LIMITED,AX1
AURIZON HOLDINGS LIMITED,AZJ
BAPCOR LIMITED,BAP
BABY BUNTING GROUP LIMITED,BBN
BETASHARES AUSTRALIAN EQUITIES BEAR (HEDGE FUND),BEAR
BENDIGO AND ADELAIDE BANK LIMITED,BEN
BEGA CHEESE LIMITED,BGA
BELLEVUE GOLD LIMITED,BGL
BHP GROUP LIMITED,BHP
BLACKMORES LIMITED,BKL
BRICKWORKS LIMITED,BKW
BORAL LIMITED.,BLD
BANK OF QUEENSLAND LIMITED.,BOQ
BEACH ENERGY LIMITED,BPT
BREVILLE GROUP LIMITED,BRG
BLUESCOPE STEEL LIMITED,BSL
BRAVURA SOLUTIONS LIMITED.,BVS
BWP TRUST,BWP
BWX LIMITED,BWX
BRAMBLES LIMITED,BXB
CARSALES.COM LIMITED.,CAR
COMMONWEALTH BANK OF AUSTRALIA.,CBA
CREDIT CORP GROUP LIMITED,CCP
CITY CHIC COLLECTIVE LIMITED,CCX
CODAN LIMITED,CDA
COSTA GROUP HOLDINGS LIMITED,CGC
CHALLENGER LIMITED,CGF
CHARTER HALL GROUP,CHC
CHAMPION IRON LIMITED,CIA
CIMIC GROUP LIMITED,CIM
CENTURIA INDUSTRIAL REIT,CIP
COLLINS FOODS LIMITED,CKF
CHARTER HALL LONG WALE REIT,CLW
CAPRICORN METALS LTD,CMM
CENTURIA CAPITAL GROUP,CNI
CHORUS LIMITED,CNU
