id,sector_id,title,path,code,is_asr,last,change,change_percent,open,high,low,previous_close,52w_low,52w_high,turnover,ytd_percent_change,1yr_percent_change,star_stock,market_cap,volume,last_traded,status,deleted_at,created_at,updated_at
4284,,Telstra Corporation Ltd,TLS,TLS,False,3.3,-0.010,-0.302,3.310,3.320,3.300,3.31,2.660,3.810,66067216.8,10.738,-12.000,False,39247882922,19984672,2021-02-17T18:44:23.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:02.000000Z,2021-02-18T08:32:29.000000Z
4246,15,Transurban Group,TCL,TCL,False,12.62,-0.220,-1.713,12.890,12.980,12.450,12.84,9.100,16.440,86418112.0,-7.613,-22.766,False,34535219543,6836639,2021-02-17T18:44:23.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:02.000000Z,2021-02-18T08:32:28.000000Z
3180,17,Goodman Group,GMG,GMG,False,16.99,-0.410,-2.356,17.270,17.360,16.950,17.4,9.600,20.070,85033567.1,-10.153,2.226,False,31387823042,4972390,2021-02-17T18:20:30.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:58.000000Z,2021-02-18T08:32:19.000000Z
4479,18,Woodside Petroleum Ltd,WPL,WPL,False,25.34,-0.620,-2.388,25.880,25.890,25.000,25.96,14.930,33.655,95209074.3,11.434,-23.744,False,24382802127,3753996,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:03.000000Z,2021-02-18T08:32:30.000000Z
2820,19,Coles Group Ltd,COL,COL,False,16.23,-0.970,-5.640,17.000,17.010,16.110,17.2,14.010,19.260,155005166.7,-10.529,1.185,False,21649678966,9434230,2021-02-17T18:44:23.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:57.000000Z,2021-02-18T08:32:16.000000Z
2458,16,Aristocrat Leisure Ltd,ALL,ALL,False,33.44,0.100,0.300,33.660,33.750,33.200,33.34,14.810,38.230,33714597.8,7.871,-10.516,False,21352916376,1008269,2021-02-17T18:16:44.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:56.000000Z,2021-02-18T08:32:13.000000Z
3991,21,REA Group Ltd,REA,REA,False,154.79,0.430,0.279,154.970,156.100,154.480,154.36,62.050,163.750,50554276.3,3.984,34.741,False,20450424019,326290,2021-02-17T18:58:49.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:01.000000Z,2021-02-18T08:32:26.000000Z
3694,13,Newcrest Mining Ltd,NCM,NCM,False,24.12,-0.400,-1.631,24.000,24.360,23.300,24.52,20.700,38.150,113106184.7,-6.439,-14.710,False,19695343600,4715679,2021-02-17T18:44:23.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:00.000000Z,2021-02-18T08:32:24.000000Z
4502,20,Xero Ltd,XRO,XRO,False,127.29,-0.570,-0.446,127.510,128.690,126.620,127.86,54.690,157.990,45715352.1,-13.302,43.022,False,18676092541,359090,2021-02-17T18:58:42.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:03.000000Z,2021-02-18T08:32:31.000000Z
3407,13,James Hardie Industries Plc,JHX,JHX,False,39.5,-1.200,-2.948,39.920,39.990,39.120,40.7,12.540,43.650,38473994.9,3.349,28.288,False,17544615816,973841,2021-02-17T19:09:56.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:59.000000Z,2021-02-18T08:32:21.000000Z
3117,14,Fisher & Paykel Healthcare Corporation Ltd,FPH,FPH,False,29.95,0.160,0.537,30.000,30.080,29.640,29.79,21.070,34.920,11290839.4,-3.231,25.104,False,17261570158,377473,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:57.000000Z,2021-02-18T08:32:18.000000Z
4125,14,Sonic Healthcare Ltd,SHL,SHL,False,33.97,0.390,1.161,33.300,34.460,33.300,33.58,20.060,38.000,44032158.8,5.661,7.568,False,16232082160,1298445,2021-02-17T19:16:38.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:02.000000Z,2021-02-18T08:32:27.000000Z
2703,15,Brambles Ltd,BXB,BXB,False,10.5,-0.080,-0.756,10.650,10.720,10.500,10.58,8.970,13.070,77623863.8,-0.943,-18.605,False,15437031666,7349513,2021-02-17T19:16:19.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:56.000000Z,2021-02-18T08:32:15.000000Z
4233,15,Sydney Airport,SYD,SYD,False,5.52,-0.160,-2.817,5.670,5.720,5.515,5.68,4.261,8.336,38012493.2,-13.885,-32.920,False,14896825397,6819522,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:02.000000Z,2021-02-18T08:32:28.000000Z
4204,18,Santos Ltd,STO,STO,False,7.06,0.020,0.284,7.200,7.210,6.960,7.04,2.730,8.220,39157908.7,12.600,-13.586,False,14706446249,5535617,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:02.000000Z,2021-02-18T08:32:28.000000Z
4015,14,Ramsay Health Care Ltd,RHC,RHC,False,62.51,0.230,0.369,62.700,63.710,62.220,62.28,46.120,80.050,37021491.7,0.531,-21.706,False,14307395380,590287,2021-02-17T18:58:49.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:01.000000Z,2021-02-18T08:32:26.000000Z
4082,17,Scentre Group,SCG,SCG,False,2.72,-0.060,-2.158,2.780,2.790,2.720,2.78,1.350,3.790,32259937.8,-2.158,-26.486,False,14117829082,11800128,2021-02-17T18:16:14.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:01.000000Z,2021-02-18T08:32:27.000000Z
4701,,Magellan Global Fund (Open Class) (Managed Fund),MGOC,MGOC,False,2.51,-0.020,-0.791,2.500,2.510,2.500,2.53,2.370,2.570,2112994.1,2.449,-1.569,False,13688021518,844546,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-11-29T23:00:11.000000Z,2021-02-18T08:32:23.000000Z
2542,12,ASX Ltd,ASX,ASX,False,69.48,-0.300,-0.430,69.870,69.970,68.810,69.78,63.020,91.320,38789138.6,-3.500,-15.843,False,13450991856,559683,2021-02-17T18:42:27.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:56.000000Z,2021-02-18T08:32:13.000000Z
